Price,Status Text,Status Type,Area,Beds,Baths,State,City,Street,Zipcode
"15,000",FOR_SALE,FOR_SALE,None sqft,,,CO,Crestone,3293 Camino Del Rey,81131
"39,900",FOR_SALE,FOR_SALE,None sqft,,,CO,Jefferson,481 Turk Pony Way,80456
"19,000",FOR_SALE,FOR_SALE,None sqft,,,CO,Crestone,4217 Al Fresco Way,81131
"321,018",FOR_SALE,FOR_SALE,1820 sqft,4,2.0,CO,Pueblo,39 Duke St,81005
"2,750,000",FOR_SALE,FOR_SALE,2976 sqft,3,3.0,CO,Boulder,333 15th St,80302
"999,000",FOR_SALE,FOR_SALE,5277 sqft,4,4.0,CO,Larkspur,6956 Fox Cir,80118
"139,995",FOR_SALE,FOR_SALE,1512 sqft,4,2.0,CO,Evans,3097 yarrow Cir,80620
"475,000",FOR_SALE,FOR_SALE,3111 sqft,4,3.0,CO,Windsor,1867 Paley Drive,80550
"485,000",FOR_SALE,FOR_SALE,2100 sqft,3,3.0,CO,Firestone,5785 Scenic Avenue,80504
"559,900",FOR_SALE,FOR_SALE,3405 sqft,4,3.0,CO,Colorado Springs,7206 Horizon Wood Ln,80927
"35,000",FOR_SALE,FOR_SALE,None sqft,0,0.0,CO,Walsenburg,Tbd Cr 524,81089
"410,000",FOR_SALE,FOR_SALE,1778 sqft,3,3.0,CO,Arvada,6433 Ward Road,80004
"520,000",FOR_SALE,FOR_SALE,1935 sqft,3,3.0,CO,Denver,19193 E 54th Place,80249
"1,250,000",FOR_SALE,FOR_SALE,3013 sqft,3,4.0,CO,Denver,1206 N Garfield Street,80206
"269,900",FOR_SALE,FOR_SALE,1948 sqft,4,2.0,CO,Akron,665 Eagle Ave,80720
"465,000",FOR_SALE,FOR_SALE,1707 sqft,2,2.0,CO,Cedaredge,325 SE Flagstone Ct,81413
"653,490",FOR_SALE,FOR_SALE,2247 sqft,4,3.0,CO,Castle Rock,"The Fountain Plan, Macanta City Collection",80108
"400,000",FOR_SALE,FOR_SALE,3900 sqft,8,4.0,CO,Craig,685-699 Russell St,81625
"200,000",FOR_SALE,FOR_SALE,2437 sqft,5,2.0,CO,Pueblo,1019 Carteret Ave,81004
"325,000",FOR_SALE,FOR_SALE,None sqft,,,CO,Lakewood,3343 S Newcombe Street,80227
"550,000",FOR_SALE,FOR_SALE,2742 sqft,3,3.0,CO,Fountain,10653 Traders Pkwy,80817
"235,000",FOR_SALE,FOR_SALE,None sqft,,,CO,Pierce,0 W CR94,80650
"639,000",FOR_SALE,FOR_SALE,2641 sqft,4,4.0,CO,Westminster,11136 Bryant Dr,80234
"662,000",FOR_SALE,FOR_SALE,1960 sqft,3,3.0,CO,Englewood,4759 S Bannock Street,80110
"844,990",FOR_SALE,FOR_SALE,3547 sqft,3,4.0,CO,Littleton,10533 Oncilla Lane,80124
"415,000",FOR_SALE,FOR_SALE,1510 sqft,3,3.0,CO,Colorado Springs,9260 Delgany Poin,80927
"799,990",FOR_SALE,FOR_SALE,3630 sqft,4,3.0,CO,Littleton,10537 Oncilla Lane,80124
"349,000",FOR_SALE,FOR_SALE,None sqft,,,CO,Pierce, W CR33,80650
"610,000",FOR_SALE,FOR_SALE,2772 sqft,4,3.0,CO,Thornton,1440 E 128th Ct,80241
"379,000",FOR_SALE,FOR_SALE,1085 sqft,3,1.0,CO,Aurora,9591 E 12th Ave,80010
